date,gross_amt,pcs
2021-06,985019.0,1429.0
2021-07,841094.0,1325.0
2021-08,1135947.0,1865.0
2021-09,1282528.0,1790.0
2021-10,1411265.0,2283.0
2021-11,683231.0,1002.0
2021-12,398470.0,527.0
2022-01,454618.0,633.0
2022-02,1197623.0,2053.0
2022-03,1059618.0,1808.0
2022-04,1163355.75,1284.0
2022-05,222158.44,295.0
