sku_key,sku,style,category,size,mapping_scope
BL029-78BLACK,BL029-78BLACK,BL029,Blouse,Free,Amazon source-local
BL029-78BLACK-B,BL029-78BLACK-B,BL029,Blouse,Free,Amazon source-local
BL035-161GOLD,BL035-161GOLD,BL035,Blouse,Free,Amazon source-local
BL036-176GOLD,BL036-176GOLD,BL036,Blouse,Free,Amazon source-local
BL041-65RED-A,BL041-65RED-A,BL041,Blouse,Free,Amazon source-local
BL050-83RED-A,BL050-83RED-A,BL050,Blouse,Free,Amazon source-local
BL053-153GOLD-A,BL053-153GOLD-A,BL053,Blouse,Free,Amazon source-local
BL055-164GOLD-A,BL055-164GOLD-A,BL055,Blouse,Free,Amazon source-local
BL056-185GOLD,BL056-185GOLD,BL056,Blouse,Free,Amazon source-local
BL057-65BLACK-A,BL057-65BLACK-A,BL057,Blouse,Free,Amazon source-local
BL060-75RED,BL060-75RED,BL060,Blouse,Free,Amazon source-local
BL073-85BLACK,BL073-85BLACK,BL073,Blouse,Free,Amazon source-local
BL074-85RED,BL074-85RED,BL074,Blouse,Free,Amazon source-local
BL075-85CHIKU,BL075-85CHIKU,BL075,Blouse,Free,Amazon source-local
BL079-87RED,BL079-87RED,BL079,Blouse,Free,Amazon source-local
BL085-S,BL085-S,BL085,Blouse,S,Amazon source-local
BL086-XL,BL086-XL,BL086,Blouse,XL,Amazon source-local
BL086-XXL,BL086-XXL,BL086,Blouse,XXL,Amazon source-local
BL087-L,BL087-L,BL087,Blouse,L,Amazon source-local
BL087-M,BL087-M,BL087,Blouse,M,Amazon source-local
BL087-S,BL087-S,BL087,Blouse,S,Amazon source-local
BL087-XS,BL087-XS,BL087,Blouse,XS,Amazon source-local
BL087-XXL,BL087-XXL,BL087,Blouse,XXL,Amazon source-local
BL089-M,BL089-M,BL089,Blouse,M,Amazon source-local
BL089-XS,BL089-XS,BL089,Blouse,XS,Amazon source-local
BL089-XXL,BL089-XXL,BL089,Blouse,XXL,Amazon source-local
BL090-M,BL090-M,BL090,Blouse,M,Amazon source-local
BL090-S,BL090-S,BL090,Blouse,S,Amazon source-local
BL090-XS,BL090-XS,BL090,Blouse,XS,Amazon source-local
BL090-XXL,BL090-XXL,BL090,Blouse,XXL,Amazon source-local
BL091-XL,BL091-XL,BL091,Blouse,XL,Amazon source-local
BL093-M,BL093-M,BL093,Blouse,M,Amazon source-local
BL093-S,BL093-S,BL093,Blouse,S,Amazon source-local
BL095-M,BL095-M,BL095,Blouse,M,Amazon source-local
BL095-XL,BL095-XL,BL095,Blouse,XL,Amazon source-local
BL096-S,BL096-S,BL096,Blouse,S,Amazon source-local
BL096-XL,BL096-XL,BL096,Blouse,XL,Amazon source-local
BL098-M,BL098-M,BL098,Blouse,M,Amazon source-local
BL098-S,BL098-S,BL098,Blouse,S,Amazon source-local
BL098-XL,BL098-XL,BL098,Blouse,XL,Amazon source-local
BL098-XS,BL098-XS,BL098,Blouse,XS,Amazon source-local
BL098-XXL,BL098-XXL,BL098,Blouse,XXL,Amazon source-local
BL099-L,BL099-L,BL099,Blouse,L,Amazon source-local
BL099-S,BL099-S,BL099,Blouse,S,Amazon source-local
BL099-XS,BL099-XS,BL099,Blouse,XS,Amazon source-local
BL100-M,BL100-M,BL100,Blouse,M,Amazon source-local
BL100-S,BL100-S,BL100,Blouse,S,Amazon source-local
BL100-XL,BL100-XL,BL100,Blouse,XL,Amazon source-local
BL100-XXL,BL100-XXL,BL100,Blouse,XXL,Amazon source-local
BL101-M,BL101-M,BL101,Blouse,M,Amazon source-local
BL101-S,BL101-S,BL101,Blouse,S,Amazon source-local
BL101-XS,BL101-XS,BL101,Blouse,XS,Amazon source-local
BL101-XXL,BL101-XXL,BL101,Blouse,XXL,Amazon source-local
BL102-L,BL102-L,BL102,Blouse,L,Amazon source-local
BL102-M,BL102-M,BL102,Blouse,M,Amazon source-local
BL102-S,BL102-S,BL102,Blouse,S,Amazon source-local
BL102-XS,BL102-XS,BL102,Blouse,XS,Amazon source-local
BL103-L,BL103-L,BL103,Blouse,L,Amazon source-local
BL103-M,BL103-M,BL103,Blouse,M,Amazon source-local
BL103-S,BL103-S,BL103,Blouse,S,Amazon source-local
BL103-XL,BL103-XL,BL103,Blouse,XL,Amazon source-local
BL103-XS,BL103-XS,BL103,Blouse,XS,Amazon source-local
BL103-XXL,BL103-XXL,BL103,Blouse,XXL,Amazon source-local
BL104-L,BL104-L,BL104,Blouse,L,Amazon source-local
BL104-M,BL104-M,BL104,Blouse,M,Amazon source-local
BL104-S,BL104-S,BL104,Blouse,S,Amazon source-local
BL104-XL,BL104-XL,BL104,Blouse,XL,Amazon source-local
BL104-XS,BL104-XS,BL104,Blouse,XS,Amazon source-local
BL104-XXL,BL104-XXL,BL104,Blouse,XXL,Amazon source-local
BL107-M,BL107-M,BL107,Blouse,M,Amazon source-local
BL107-S,BL107-S,BL107,Blouse,S,Amazon source-local
BL107-XL,BL107-XL,BL107,Blouse,XL,Amazon source-local
BL107-XS,BL107-XS,BL107,Blouse,XS,Amazon source-local
BL107-XXL,BL107-XXL,BL107,Blouse,XXL,Amazon source-local
BL109-L,BL109-L,BL109,Blouse,L,Amazon source-local
BL109-M,BL109-M,BL109,Blouse,M,Amazon source-local
BL109-S,BL109-S,BL109,Blouse,S,Amazon source-local
BL109-XL,BL109-XL,BL109,Blouse,XL,Amazon source-local
BL109-XS,BL109-XS,BL109,Blouse,XS,Amazon source-local
BL109-XXL,BL109-XXL,BL109,Blouse,XXL,Amazon source-local
BL110-L,BL110-L,BL110,Blouse,L,Amazon source-local
BL110-M,BL110-M,BL110,Blouse,M,Amazon source-local
BL110-S,BL110-S,BL110,Blouse,S,Amazon source-local
BL110-XL,BL110-XL,BL110,Blouse,XL,Amazon source-local
BL110-XS,BL110-XS,BL110,Blouse,XS,Amazon source-local
BL110-XXL,BL110-XXL,BL110,Blouse,XXL,Amazon source-local
BL111-L,BL111-L,BL111,Blouse,L,Amazon source-local
BL111-M,BL111-M,BL111,Blouse,M,Amazon source-local
BL111-S,BL111-S,BL111,Blouse,S,Amazon source-local
BL111-XL,BL111-XL,BL111,Blouse,XL,Amazon source-local
BL111-XS,BL111-XS,BL111,Blouse,XS,Amazon source-local
BL113-L,BL113-L,BL113,Blouse,L,Amazon source-local
BL113-M,BL113-M,BL113,Blouse,M,Amazon source-local
BL113-S,BL113-S,BL113,Blouse,S,Amazon source-local
BL113-XL,BL113-XL,BL113,Blouse,XL,Amazon source-local
BL113-XS,BL113-XS,BL113,Blouse,XS,Amazon source-local
BL113-XXL,BL113-XXL,BL113,Blouse,XXL,Amazon source-local
BTM002-B-L,BTM002-B-L,BTM002,Bottom,L,Amazon source-local
BTM002-B-M,BTM002-B-M,BTM002,Bottom,M,Amazon source-local
BTM002-B-XL,BTM002-B-XL,BTM002,Bottom,XL,Amazon source-local
BTM002-B-XXL,BTM002-B-XXL,BTM002,Bottom,XXL,Amazon source-local
BTM002-B-XXXL,BTM002-B-XXXL,BTM002,Bottom,3XL,Amazon source-local
BTM002-L,BTM002-L,BTM002,Bottom,L,Amazon source-local
BTM002-S,BTM002-S,BTM002,Bottom,S,Amazon source-local
BTM002-XL,BTM002-XL,BTM002,Bottom,XL,Amazon source-local
BTM002-XXXL,BTM002-XXXL,BTM002,Bottom,3XL,Amazon source-local
BTM003-B-L,BTM003-B-L,BTM003,Bottom,L,Amazon source-local
BTM003-B-XXXL,BTM003-B-XXXL,BTM003,Bottom,3XL,Amazon source-local
BTM003-M,BTM003-M,BTM003,Bottom,M,Amazon source-local
BTM003-XXXL,BTM003-XXXL,BTM003,Bottom,3XL,Amazon source-local
BTM004-XXXL,BTM004-XXXL,BTM004,Bottom,3XL,Amazon source-local
BTM005-B-L,BTM005-B-L,BTM005,Bottom,L,Amazon source-local
BTM005-L,BTM005-L,BTM005,Bottom,L,Amazon source-local
BTM005-XXL,BTM005-XXL,BTM005,Bottom,XXL,Amazon source-local
BTM005-XXXL,BTM005-XXXL,BTM005,Bottom,3XL,Amazon source-local
BTM008-B-L,BTM008-B-L,BTM008,Bottom,L,Amazon source-local
BTM008-B-M,BTM008-B-M,BTM008,Bottom,M,Amazon source-local
BTM008-B-XXL,BTM008-B-XXL,BTM008,Bottom,XXL,Amazon source-local
BTM008-L,BTM008-L,BTM008,Bottom,L,Amazon source-local
BTM008-XL,BTM008-XL,BTM008,Bottom,XL,Amazon source-local
BTM008-XXL,BTM008-XXL,BTM008,Bottom,XXL,Amazon source-local
BTM008-XXXL,BTM008-XXXL,BTM008,Bottom,3XL,Amazon source-local
BTM021-B-L,BTM021-B-L,BTM021,Bottom,L,Amazon source-local
BTM021-B-XS,BTM021-B-XS,BTM021,Bottom,XS,Amazon source-local
BTM021-B-XXL,BTM021-B-XXL,BTM021,Bottom,XXL,Amazon source-local
BTM021-B-XXXL,BTM021-B-XXXL,BTM021,Bottom,3XL,Amazon source-local
BTM026-NP-L,BTM026-NP-L,BTM026,Bottom,L,Amazon source-local
BTM026-NP-M,BTM026-NP-M,BTM026,Bottom,M,Amazon source-local
BTM026-NP-S,BTM026-NP-S,BTM026,Bottom,S,Amazon source-local
BTM026-NP-XL,BTM026-NP-XL,BTM026,Bottom,XL,Amazon source-local
BTM026-NP-XS,BTM026-NP-XS,BTM026,Bottom,XS,Amazon source-local
BTM026-NP-XXL,BTM026-NP-XXL,BTM026,Bottom,XXL,Amazon source-local
BTM026-NP-XXXL,BTM026-NP-XXXL,BTM026,Bottom,3XL,Amazon source-local
BTM027-NP-L,BTM027-NP-L,BTM027,Bottom,L,Amazon source-local
BTM027-NP-XXL,BTM027-NP-XXL,BTM027,Bottom,XXL,Amazon source-local
BTM027-NP-XXXL,BTM027-NP-XXXL,BTM027,Bottom,3XL,Amazon source-local
BTM029-NP-L,BTM029-NP-L,BTM029,Bottom,L,Amazon source-local
BTM029-NP-M,BTM029-NP-M,BTM029,Bottom,M,Amazon source-local
BTM029-NP-S,BTM029-NP-S,BTM029,Bottom,S,Amazon source-local
BTM029-NP-XL,BTM029-NP-XL,BTM029,Bottom,XL,Amazon source-local
BTM029-NP-XS,BTM029-NP-XS,BTM029,Bottom,XS,Amazon source-local
BTM029-NP-XXL,BTM029-NP-XXL,BTM029,Bottom,XXL,Amazon source-local
BTM029-NP-XXXL,BTM029-NP-XXXL,BTM029,Bottom,3XL,Amazon source-local
BTM030-NP-M,BTM030-NP-M,BTM030,Bottom,M,Amazon source-local
BTM030-NP-S,BTM030-NP-S,BTM030,Bottom,S,Amazon source-local
BTM030-NP-XL,BTM030-NP-XL,BTM030,Bottom,XL,Amazon source-local
BTM030-NP-XS,BTM030-NP-XS,BTM030,Bottom,XS,Amazon source-local
BTM030-NP-XXL,BTM030-NP-XXL,BTM030,Bottom,XXL,Amazon source-local
BTM030-NP-XXXL,BTM030-NP-XXXL,BTM030,Bottom,3XL,Amazon source-local
BTM031-NP-L,BTM031-NP-L,BTM031,Bottom,L,Amazon source-local
BTM031-NP-M,BTM031-NP-M,BTM031,Bottom,M,Amazon source-local
BTM031-NP-XL,BTM031-NP-XL,BTM031,Bottom,XL,Amazon source-local
BTM031-NP-XS,BTM031-NP-XS,BTM031,Bottom,XS,Amazon source-local
BTM031-NP-XXL,BTM031-NP-XXL,BTM031,Bottom,XXL,Amazon source-local
BTM032-NP-M,BTM032-NP-M,BTM032,Bottom,M,Amazon source-local
BTM032-NP-S,BTM032-NP-S,BTM032,Bottom,S,Amazon source-local
BTM032-NP-XS,BTM032-NP-XS,BTM032,Bottom,XS,Amazon source-local
BTM033-NP-XS,BTM033-NP-XS,BTM033,Bottom,XS,Amazon source-local
BTM033-NP-XXL,BTM033-NP-XXL,BTM033,Bottom,XXL,Amazon source-local
BTM033-NP-XXXL,BTM033-NP-XXXL,BTM033,Bottom,3XL,Amazon source-local
BTM035-NP-XS,BTM035-NP-XS,BTM035,Bottom,XS,Amazon source-local
